Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CE,4389,002,4,11,2,,,,,,,,,,,,,,,"Tacca, Marco",,,,,
CE,5325,501,,10,7,,,,,,,,,,,,,,,"Swartz, William P","Sayem, Ahmad Sayeed",,,,
CE,6301,001,,7,4,5,10,6,2,,,,,,,,,,,"Swartz, William P","Ezechukwu, Dismas N",,,,
CE,6302,001,,27,9,2,2,1,,1,,,,,1,,,,,"Nikoubin Boroujeni, Tooraj","Annadata, Yagna Srinivasa Harsha",,,,
CE,6304,001,,2,4,9,7,3,,,,,,,2,,,,,"Carrion Schaefer, Benjamin",,,,,
CE,6304,002,,12,1,3,2,,,1,,,,,,,,,,"Pedram, Hossein","Parchamdar, Baharealsadat","Rashid, Md Imtiaz",,,
CE,6320,001,,10,22,5,10,,,,,,,,,,,,,"Basu, Kanad","Abdeljaber, Luay",,,,
CE,6325,001,,2,3,3,2,1,,1,,,,,,,,,,"Sechen, Carl M","Wick, Lucas M","Feng, Jinkun",,,
CE,6325,501,,,4,5,3,1,1,,,,,,,,,,,"Sechen, Carl M","Wick, Lucas M","Feng, Jinkun",,,
CE,6370,001,,11,17,5,,,,,,,,,,,,,,"Carrion Schaefer, Benjamin",,,,,
CGS,2301,001,10,11,8,9,10,7,7,2,6,,6,,4,,,,9,"O'Toole, Alice J",,,,,
CGS,3361,001,5,2,,2,3,,,1,,,,,,,,,,"Roark, Dana A","Cortez, Jared I",,,,
CGS,4314,501,,2,,2,2,2,,,2,,1,,,,,,3,"Golden, Richard M","Hosseinpourkhoshkbari, Reyhaneh",,,,
CGS,4353,501,,18,,,1,,,,,,,,1,,,,,"Estevez, Leonardo W",,,,,
CHEM,1111,101,6,6,3,4,1,4,2,1,,,,,3,,,,,"Jaggi, Neelam","Walimuni Mudiyanselage, Chamila Sandaruwan B",,,,
CHEM,1111,103,10,8,1,2,4,,,1,2,,1,,,,,,,"Abeykoon, Nimali C","Liyana Withanage, Nadeesha Tharangani",,,,
CHEM,1111,104,5,11,6,1,2,,1,,,1,1,,,,,,,"Anka, Fadwa H","Rajapaksha Mudiyanselage, Gaveshika Madushani Rajapaksha",,,,
CHEM,1111,105,5,8,2,4,4,,2,1,,,,,1,,,,,"Jaggi, Neelam","Walimuni Mudiyanselage, Chamila Sandaruwan B",,,,
CHEM,1111,107,8,6,4,5,2,1,,2,,,,,2,,,,,"Abeykoon, Nimali C","Liyana Withanage, Nadeesha Tharangani",,,,
CHEM,1111,108,6,14,2,1,3,,,,,,,,,,,,,"Hashami, Zohreh","Rajapaksha Mudiyanselage, Gaveshika Madushani Rajapaksha",,,,
CHEM,1111,109,3,9,6,2,,1,,1,1,,1,,3,,,,,"Jaggi, Neelam","Barnes, Sydney",,,,
CHEM,1111,110,10,10,,2,3,1,,1,,,,1,1,,,,,"Tripathi, Kiran","Sharma, Shreya",,,,
CHEM,1111,111,15,6,1,1,1,2,1,,,,,,2,,,,,"Panapitiya, Nimanka P","Budhathoki, Prakriti",,,,
CHEM,1111,112,14,8,3,2,2,,,,,,,,,,,,,"Dissanayake, Dushanthi S","Tolfree, Ariel R",,,,
CHEM,1111,113,13,7,4,,,2,1,,,,,1,1,,,,,"Anka, Fadwa H","Tran, Tien M",,,,
CHEM,1111,114,19,9,,2,,,,,,,,,,,,,,"Wijenayake, Sumudu N","Mihranyan, Andranik",,,,
CHEM,1111,115,19,8,1,1,,,1,,,,,,,,,,,"Abeykoon, Nimali C","Gaspar, Miguel A",,,,
CHEM,1111,116,16,7,1,1,2,1,,,,,,1,,,,,,"Anka, Fadwa H","Ghafari, Mozhdeh",,,,
CHEM,1111,118,13,9,2,2,1,,,,,,,1,1,,,,,"Abeykoon, Nimali C","Wicherts, Dylan M",,,,
CHEM,1111,119,15,5,2,,2,3,1,,,,,1,,,,,,"Tran, Daniel N","Shende, Prapti M",,,,
CHEM,1111,120,13,10,3,,1,1,,,,,,,1,,,,,"Anka, Fadwa H","Ghafari, Mozhdeh",,,,
CHEM,1111,121,5,16,1,1,3,1,,1,,,1,,,,,,,"Jaggi, Neelam","Ullah, Najeeb",,,,
CHEM,1111,122,9,13,1,1,2,1,,,1,,,,,,,,1,"Abeykoon, Nimali C","Wicherts, Dylan M",,,,
CHEM,1111,123,12,12,3,2,,,,1,,,,,,,,,,"Gavva, Sandhya R","Tiwari, Mayank",,,,
CHEM,1111,124,13,8,5,,3,,,,,,,,1,,,,,"Abeykoon, Nimali C","Hoot, Robert E",,,,
CHEM,1111,125,16,5,5,1,1,,,,,,,,,,,,1,"Anka, Fadwa H","Polara, Sarthi",,,,
CHEM,1111,126,18,4,1,2,3,1,1,,,,,,,,,,,"Tripathi, Kiran","Hoot, Robert E",,,,
CHEM,1111,127,15,8,,,1,1,1,,,1,,1,,,,,,"Abeykoon, Nimali C","Shekarnoush, Mahsa",,,,
CHEM,1111,128,18,5,1,3,,1,,,,,,,1,,,,,"Tran, Daniel N","Nikpey Sheikhani, Marjan",,,,
CHEM,1111,129,18,5,2,1,2,1,,,,,,,,,,,1,"Cortes, Sergio","Brown, Monet R",,,,
CHEM,1111,130,13,7,2,1,2,,3,1,,,,,1,,,,,"Abeykoon, Nimali C","Shekarnoush, Mahsa",,,,
CHEM,1111,131,13,7,2,1,1,1,,,,,1,,1,,,,,"Cortes, Sergio","Brown, Monet R",,,,
CHEM,1111,132,15,4,5,3,,,,1,,,,,1,,,,,"Qin, Yanping","De Aquino Veras, Sophia",,,,
CHEM,1111,133,14,2,1,4,4,,1,,1,,1,,,,,,,"Jaggi, Neelam","Shende, Prapti M",,,,
CHEM,1111,134,14,9,4,3,,,,,,,,,,,,,,"Abeykoon, Nimali C","Tiwari, Mayank",,,,
CHEM,1111,135,17,4,4,,,1,1,,,,,,,,,,,"Hashami, Zohreh","Ullah, Najeeb",,,,
CHEM,1111,136,9,12,3,1,2,2,,,,,,,,,,,,"Tripathi, Kiran","Gaspar, Miguel A",,,,
CHEM,1111,137,9,12,2,3,,,,,,,,,1,,,,,"Wijenayake, Sumudu N","Amarasuriya, Hansani S",,,,
CHEM,1111,138,16,8,2,1,,,,,1,1,,,,,,,,"Anka, Fadwa H","Hildebrand, Dax J",,,,
CHEM,1111,139,9,9,4,2,1,,1,,,,,,2,,,,,"Cortes, Sergio","Polara, Sarthi",,,,
CHEM,1111,140,9,6,6,3,2,2,,,,,1,1,,,,,,"Tripathi, Kiran","Nikpey Sheikhani, Marjan",,,,
CHEM,1111,141,12,5,7,,2,2,1,,,,,,1,,,,,"Anka, Fadwa H","De Aquino Veras, Sophia",,,,
CHEM,1111,142,15,8,2,,2,1,,,,,,1,1,,,,,"Panapitiya, Nimanka P","Mihranyan, Andranik",,,,
CHEM,1111,601,4,9,1,2,5,,1,1,,,,1,4,,,,,"Sisk, Joshua R","Barnes, Sydney","Rahmani, Fatemeh",,,
CHEM,1111,602,7,9,6,,2,3,1,,1,,,,1,,,,,"Sisk, Joshua R","Tolfree, Ariel R","Sharma, Shreya",,,
CHEM,1111,603,8,8,3,3,2,1,2,1,,1,,,,,,,1,"Tripathi, Kiran","Deo, Nitish Kumar",,,,
CHEM,1111,604,5,9,2,2,1,4,1,1,2,,1,,2,,,,,"Panapitiya, Nimanka P","Amarasuriya, Hansani S",,,,
CHEM,1111,605,9,7,1,3,3,,1,,,2,,2,,,,,1,"Tran, Daniel N","Hildebrand, Dax J",,,,
CHEM,1111,606,2,9,2,6,6,,,1,,2,,1,1,,,,,"Sisk, Joshua R","Rahmani, Fatemeh",,,,
CHEM,1111,607,10,4,4,1,,,1,1,1,,2,2,1,,,,,"Panapitiya, Nimanka P","Budhathoki, Prakriti",,,,
CHEM,1112,101,6,6,3,2,1,3,,1,,1,1,1,2,,,,2,"Dissanayake, Dushanthi S","Qasimi, Nazer Hossain",,,,
CHEM,1112,102,4,6,6,1,2,1,1,,1,2,1,,2,,,,,"Qin, Yanping","Qasimi, Nazer Hossain",,,,
CHEM,1112,103,9,4,3,2,2,,1,,1,,1,1,4,,,,,"Anka, Fadwa H","Mortensen, Marie L",,,,
CHEM,1112,104,7,10,3,1,2,,1,1,1,,,1,,,,,,"Anka, Fadwa H","Mortensen, Marie L",,,,
CHEM,1112,105,5,7,4,1,1,1,,1,1,,,2,1,,,,,"Dissanayake, Dushanthi S","Tran, Tien M",,,,
CHEM,1115,HN1,9,19,,1,,,,,,,,,1,,,,,"Sibert, John W",,,,,
CHEM,1311,002,16,32,29,14,18,9,15,14,8,7,3,3,15,,,,14,"Huang, Yu",,,,,
CHEM,1311,003,8,20,12,14,12,17,19,24,21,4,5,3,30,,,,14,"Huang, Yu",,,,,
CHEM,1311,004,6,20,11,19,15,22,7,11,24,9,8,4,22,,,,17,"Dieckmann, Gregg R",,,,,
CHEM,1311,005,17,19,16,14,11,23,13,14,19,6,4,3,20,,,,14,"Dieckmann, Gregg R",,,,,
CHEM,1311,006,21,26,19,20,25,14,7,19,23,4,3,2,8,,,,11,"Taylor, Stephanie M",,,,,
CHEM,1311,007,19,37,11,14,17,17,13,19,17,5,6,2,8,,,,10,"Taylor, Stephanie M",,,,,
CHEM,1311,008,22,35,19,22,19,14,10,12,11,2,10,4,11,,,,5,"Hashami, Zohreh",,,,,
CHEM,1312,001,13,11,7,16,18,19,20,16,15,17,8,11,33,,2,,23,"Sra, Amandeep K","Kumari, Sneha",,,,
CHEM,1315,HN1,8,9,3,2,2,,2,1,,,1,,1,,,,1,"Sibert, John W",,,,,
CHEM,2233,301,6,16,1,,,,,,,,,,,,,,,"Tran, Daniel N","Fastheem, Muhammed",,,,
CHEM,2233,302,14,8,1,,,,,,,,,,,,,,1,"Cortes, Sergio","Alakenova, Rakhat",,,,
CHEM,2233,303,7,9,1,,,,,,,,,,,,,,1,"Panapitiya, Nimanka P","Neal, Henry",,,,
CHEM,2233,304,12,8,3,,,,,,,,,,,,,,,"Cortes, Sergio","Neal, Henry",,,,
CHEM,2233,305,16,5,1,,1,,,,,,,,,,,,,"Wijenayake, Sumudu N","Shah, Tejas V",,,,
CHEM,2233,306,4,8,8,1,1,1,,,,,,,,,,,,"Tran, Daniel N","Fastheem, Muhammed",,,,
CHEM,2233,307,21,2,1,,,,,,,,,,,,,,,"Cortes, Sergio","Shah, Tejas V",,,,
CHEM,2233,308,6,5,5,,,1,,,,,,,1,,,,,"Tran, Daniel N","Alakenova, Rakhat",,,,
CHEM,2323,001,6,10,4,5,10,8,4,6,6,4,5,,7,,,,3,"Dissanayake, Dushanthi S",,,,,
CHEM,2323,002,30,51,9,25,16,6,3,2,,,,,,,,,2,"Wijenayake, Sumudu N","Li, Baowen",,,,
CHEM,2323,004,4,14,3,11,13,13,8,7,8,5,3,6,1,,,,8,"Ahn, Jung-Mo","Ehrman, Ryanne N",,,,
CHEM,2323,005,11,34,17,22,10,10,10,6,6,5,5,,6,,1,,2,"Thompson, Christina M",,,,,
CHEM,2323,006,17,40,3,10,18,11,14,6,3,7,5,,4,,,,6,"Tran, Daniel N",,,,,
CHEM,2323,501,25,47,11,8,13,9,6,4,10,6,2,,2,,,,4,"Panapitiya, Nimanka P","Pradhan, Subham",,,,
CHEM,2325,001,8,11,2,4,7,3,2,4,1,3,1,,20,,,,4,"Novak, Bruce M",,,,,
CHEM,2325,002,27,23,6,6,4,5,5,8,8,4,7,,24,,2,,15,"Novak, Bruce M",,,,,
CHEM,2327,HN1,11,11,3,3,1,,1,,,,,,,,,,,"Stefan, Mihaela C","Popa, Marius S",,,,
CHEM,2401,001,2,5,2,1,3,1,,1,,1,,,1,,,,1,"Dissanayake, Dushanthi S","Parsamian, Perouza","Relix, Daniel E",,,
CHEM,2401,004,3,5,2,3,1,1,,1,2,,,,1,,,,1,"Sra, Amandeep K","Darwin, Cary","Cahill, Marshall C",,,
CHEM,3321,001,13,18,,,12,,,2,,,5,,3,,,,,"Murza, Adrian C","Aranda, Aidely",,,,
CHEM,3322,001,5,8,3,11,1,4,2,7,2,2,2,3,,,,,3,"Nielsen, Steven O","Tran, Ly T",,,,
CHEM,3341,001,6,4,3,2,4,1,1,5,2,1,1,,1,,,,,"Sibert, John W",,,,,
CHEM,3361,001,1,2,1,5,2,3,1,,,1,,,,,,,1,"Gavva, Sandhya R","Sunga, Sean Alec Lois B","Chen, Qiwei","Martil De La Garza, Mauricio G",,
CHEM,3361,002,5,1,2,3,3,1,2,1,1,,2,,1,,,,2,"Boyd, Stefanie D","Jia, Lin","Zhabilov, Dannie","Zhang, Bei","Akter, Zakia",
CHEM,3361,501,2,5,1,2,5,,,1,,,,,1,,,,1,"Boyd, Stefanie D","Zhabilov, Dannie","Akter, Zakia","Zhang, Bei",,
CHEM,3472,001,,3,1,1,3,,2,,2,1,1,,2,,,,,"Qin, Yanping","Beck, Erling","Subramanian, Yaamini",,,
CHEM,3472,002,4,4,6,2,1,,1,,,,,,1,,,,1,"Hashami, Zohreh","Haque, Syed Fahad Bin","Babanyinah, Godwin K",,,
CHEM,3472,004,2,7,2,2,1,2,1,,,,1,,1,,,,,"Qin, Yanping","Abbas, Muhammad","Wang, Ziqi",,,
CHEM,5314,001,,8,2,,,,,2,,,,,,,,,1,"Nielsen, Steven O",,,,,
CHEM,5331,001,,8,6,2,8,,,,,,,,,,,,,"Biewer, Michael C",,,,,
CHEM,5355,001,,4,8,4,4,,,,,,,,,,,,1,"Pantano, Paul",,,,,
CHEM,5361,001,,13,4,,,,,,,,,,,,,,1,"Meloni, Gabriele",,,,,
CHEM,6100,001,,,,,,,,,,,,,,,,,,"Romiti, Filippo",,,,,
CHEM,6V39,002,,5,4,2,,,,,,,,,,,1,,,"Delaney, Connor P",,,,,
CHEM,8V91,024,,,,,,,,,,,,,,,,,,"Stefan, Mihaela C",,,,,
CHIN,1311,001,4,4,5,3,2,,,,1,,2,,,,,,2,"Ye, Lijing",,,,,
CLDP,2314,001,,4,3,1,4,3,,1,1,,1,2,,,,,,"Atchison, Kristin J","Padilla Cardoso, Mayra A",,,,
CLDP,2314,002,,,3,2,,3,2,3,3,,1,1,,,,,,"Drew, Linda M","Koch, Mia N",,,,
CLDP,3303,001,,9,5,3,2,4,1,,,,,,,,,,,"Klimkowski, Hillary E","Sharma, Susmi",,,,
CLDP,3305,001,,13,,,3,,,1,,,,,,,,,,"Touchstone, Emily W",,,,,
CLDP,3310,001,11,5,2,3,4,,,,,,,,,,,,,"Stankovic-Ramirez, Zlata","Heinrich, Melissa D",,,,
CLDP,3310,501,2,6,2,,2,,,1,,,,,,,,,1,"Bonner, Deborah","Delfosse, Camille M",,,,
CLDP,3332,001,2,32,6,2,11,5,,2,1,,,,2,,,,1,"Holub, Shayla C","Hafiz, Mariam",,,,
CLDP,3336,001,2,,1,1,3,2,,,,,,,1,,,,,"Atchison, Kristin J",,,,,
CLDP,3338,001,,4,6,2,4,1,2,,,,,,,,,,1,"Tang, Alva","Redig, Samantha L",,,,
CLDP,3339,0H1,,2,2,,4,2,3,6,1,1,1,,1,,,,2,"Huxtable-Jester, Karen J","Hsieh, Uan-Luen",,,,
CLDP,3342,0W1,,31,,,4,,,1,,,,,,,,,,"Bonner, Deborah","Sierra, Francisco J",,,,
CLDP,3362,001,,32,,1,17,,1,6,,,2,,,,,,,"Mills, Candice M","Monroe, Anthony J",,,,
CLDP,3394,0H1,,10,,,4,,,2,,,,,,,,,,"Grant, Meridith G","Macphail, Donald C",,,,
COMD,5344,001,,12,,,,,,,,,,,,,,,,"Behroozmand, Roozbeh","Vahid, Maedeh",,,,
COMD,6101,0W1,,,,,,,,,,,,,,,,,,"Dean, Lucinda L",,,,,
COMD,6106,0W1,,,,,,,,,,,,,,,,,,"Sale, Felicity F",,,,,
COMD,6109,0W1,,,,,,,,,,,,,,,,,,"Kenedi, A Helen I",,,,,
COMD,6110,0W1,,,,,,,,,,,,,,,,,,"Kenedi, A Helen I",,,,,
COMD,6112,0W1,,,,,,,,,,,,,,,,,,"Walsh, Diane G",,,,,
COMD,6222,001,,104,,,,,,,,,,,,,,,1,"Lougeay, Janice",,,,,
COMD,6240,001,,17,,,,,,,,,,,,,,,,"Touchstone, Emily W",,,,,
COMD,6305,001,,,,,,,,,,,,,,,,,,"Mehta, Sonya","Mundayoor, Saranya A",,,,
COMD,6307,0H1,,11,2,3,,,,,,,,,,,,,,"Evans, Julia L",,,,,
COMD,6308,001,,74,,,2,,,,,,,,,,,,1,"Rich, Judith B",,,,,
COMD,6320,001,,56,,,3,,,,,,,,,,,,1,"Aldridge, Michelle A","Kenedi, A Helen I",,,,
COMD,6330,065,,,,,,,,,,,,,,,,,1,"Aldridge, Michelle A",,,,,
COMD,6330,080,,,,,,,,,,,,,,,,,,"Carter, Jessica A",,,,,
COMD,6330,165,,,,,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,
COMD,6330,218,,,,,,,,,,,,,,,,,,"Dean, Lucinda L",,,,,
COMD,6330,265,,,,,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,
COMD,6377,001,,74,,,4,,,,,,,,,,,,1,"Kenedi, A Helen I","Sale, Felicity F",,,,
COMD,6378,001,,28,,,1,,,,,,,,,,,,,"Dean, Lucinda L","Sale, Felicity F",,,,
COMD,7204,501,,28,13,4,,,1,,,,,,,,,,,"Cook, Julie D",,,,,
COMD,7221,001,,14,,,4,,,,,,,,,,,,,"Carter, Jessica A",,,,,
COMD,7222,001,,36,,,1,,,,,,,,,,,,,"Touchstone, Emily W",,,,,
COMD,7301,001,,35,,,,,,,,,,,,,,,,"Dean, Lucinda L",,,,,
COMD,7309,001,,10,,2,,,,,,,,,,,,,,"Hart, John",,,,,
COMD,7336,001,,12,3,,,,,,,,,,,,,,,"Rollins, Pamela R",,,,,
COMD,6V09,001,,43,,,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,
COMM,1311,001,35,26,10,3,1,1,1,,,1,,,1,,,,1,"Totusek, Patricia F","Gregory, Mona Y","Mathis, Erik",,,
COMM,1311,002,,2,7,9,1,1,1,2,,,,,,,,,1,"Baker, Barbara L",,,,,
COMM,1311,003,,3,4,4,9,,3,,,,,,,,,,,"Baker, Barbara L",,,,,
COMM,1311,004,13,6,2,1,1,,,,,1,,,,,,,,"Totusek, Patricia F",,,,,
COMM,1311,005,1,7,3,5,4,,,2,,,1,,,,,,,"Arnold, Robert",,,,,
COMM,1311,006,8,6,6,,2,1,,,,,,,1,,,,,"Arnold, Robert",,,,,
COMM,1311,0H1,1,8,5,3,1,2,1,1,,1,,,,,,,1,"Sluder, Jeanne",,,,,
COMM,1311,0H2,18,4,,,,,,,,,,,,,,,1,"Tanner, Lari J",,,,,
COMM,1311,0H3,8,8,2,2,,2,1,1,,,,,,,,,,"Sova, Melodee L",,,,,
COMM,1311,0H4,4,5,7,,4,3,,1,,,,,,,,,,"Davis, Letitia A",,,,,
COMM,1311,0H5,7,6,8,1,,,2,,,,,,,,,,,"Templeton, Allison A",,,,,
COMM,1311,0H6,1,4,7,3,2,,,1,,,,,1,,,,2,"Sluder, Jeanne",,,,,
COMM,1311,0W1,2,11,4,3,2,,,1,,,,,1,,,,,"Templeton, Allison A",,,,,
COMM,1311,0W2,3,4,2,6,3,,2,1,,,,,,,,,2,"Williams, Alecia N",,,,,
COMM,1311,0W3,,3,5,5,2,2,1,1,1,,,,1,,,,1,"Williams, Alecia N",,,,,
COMM,1311,0W4,4,7,7,1,2,,,,1,,,,1,,,,1,"Tanner, Lari J",,,,,
COMM,1311,0W5,5,9,3,,3,1,,2,1,,,,,,,,,"Sova, Melodee L",,,,,
COMM,1311,0W6,9,6,3,1,2,,,,,,,,2,,,,,"Vazzi, Lisa",,,,,
COMM,1311,0W7,6,7,3,1,3,,,,,,,,2,,,,2,"Vazzi, Lisa",,,,,
COMM,1311,0W8,4,6,,3,1,3,,,,,,1,,,,,3,"Sova, Melodee L",,,,,
COMM,1311,0W9,3,10,4,,2,,1,,,,,,1,,,,1,"Sova, Melodee L",,,,,
COMM,1315,0H1,19,2,,,1,,,,,,,,,,,,1,"Saenz, Michael A",,,,,
COMM,1315,0H2,6,10,5,,,,,,1,,,,,,,,,"Totusek, Patricia F",,,,,
COMM,1315,0H3,3,5,7,3,3,,,2,,,,,,,,,1,"Templeton, Allison A",,,,,
COMM,1315,0H4,1,4,4,1,3,2,1,1,2,,,,3,,,,1,"Aranda, Johnson",,,,,
COMM,1315,0H5,3,4,4,5,3,2,1,,,,,,,,,,1,"Lingo, Kathy P",,,,,
COMM,1315,0H6,1,7,3,3,2,1,1,,,,,,2,,,,2,"Aranda, Johnson",,,,,
COMM,1315,0H7,,8,7,4,1,1,2,,,,,,,,,,,"Templeton, Allison A",,,,,
COMM,1315,0H8,5,9,4,3,,1,,,,,,,1,,,,,"Sova, Melodee L",,,,,
COMM,1315,0H9,10,4,3,,,3,,1,,,,2,,,,,,"Skiles, Bradley W",,,,,
COMM,1315,0W1,2,2,6,2,4,2,2,,,,1,1,1,,,,,"Bromberg, Mike",,,,,
COMM,1315,0W2,,5,5,1,1,4,2,2,1,,,,2,,,,,"Bromberg, Mike",,,,,
COMM,1315,0W3,15,3,2,1,,,,,,,,,1,,,,,"Cannon, Charles",,,,,
COMM,1315,0W4,18,2,,1,,2,,,,,1,,,,,,,"Cannon, Charles",,,,,
COMM,2317,0W1,2,4,2,,1,,,1,2,,,2,5,,,,2,"Glauser, Janece B",,,,,
COMM,3342,0H1,6,1,,,1,1,1,,,,,,1,,,,1,"Johnson, Janet L",,,,,
COMM,3353,001,2,6,3,,1,,,,1,,,,,,,,,"Totusek, Patricia F",,,,,
COMM,4314,0W1,2,4,1,1,3,1,,,,,,,,,,,,"King, Carie S",,,,,
CRIM,1301,001,3,6,6,3,6,1,6,4,1,2,1,1,1,,,,6,"Manuel, Samantha A",,,,,
CRIM,1301,0W1,6,17,13,3,20,8,,15,3,,5,,7,,,,2,"Harris, Michelle N","Karmakar, Anasuya",,,,
CRIM,1307,001,,25,22,18,16,16,8,3,6,2,2,,3,,,,,"Krajewski, Andrew T","Wang, Wenyi",,,,
CRIM,1307,501,,3,2,1,2,,2,,,,,,2,,,,,"Getty, Ryan M","Wang, Wenyi",,,,
CRIM,1307,0W1,13,16,12,10,9,7,3,3,1,2,,,4,,,,2,"Vasquez, Arthur G","Mcchriston, Marvin",,,,
CRIM,2306,0W1,26,16,13,4,,1,,,1,,,,,,,,,"Hull, Kerrie Ann",,,,,
CRIM,2313,0W1,,14,1,3,12,4,5,1,3,1,2,,,,,,4,"Escobedo, Allison E",,,,,
CRIM,2316,001,,22,1,2,1,,,1,1,,,,1,,,,,"Burton, Alexander","Puddy, Haley N",,,,
CRIM,2317,0W1,14,14,,6,2,1,2,1,,1,,,2,,,,,"Rodriguez, Diana C",,,,,
CRIM,3300,0W1,1,33,14,4,17,4,2,7,,,3,,1,,,,2,"Worrall, John L","Puddy, Haley N",,,,
CRIM,3301,001,,7,15,1,2,,,,,,,,,,,,1,"Getty, Ryan M","Wang, Wenyi",,,,
CRIM,3302,0W1,14,15,8,5,3,,1,1,,,,,1,,,,1,"Lee, Yeungjeom","Yoon, Min Yeong",,,,
CRIM,3303,001,33,5,1,3,,,,,,,,,,,,,,"Vasquez, Arthur G",,,,,
CRIM,3309,0W1,12,19,1,1,2,,,2,,1,3,,3,,,,,"Wilds, Katherine M",,,,,
CRIM,3310,001,40,16,8,5,2,,,,,,,,,,,,,"Vasquez, Arthur G","Mcchriston, Marvin",,,,
CRIM,3312,0W1,23,19,5,3,4,3,,,1,,,,,,,,,"Vasquez, Arthur G","Lee, Jaebom",,,,
CRIM,3319,0W1,,57,12,,1,,2,1,1,2,,,,,,,3,"Hamer, Karen",,,,,
CRIM,3326,001,1,4,4,1,2,,2,6,1,2,1,,1,,,,,"Jacobs, Bruce A","Lee, Jaebom",,,,
CRIM,4311,0W1,5,5,11,2,2,,,,,,,1,5,,,,,"Van Blarcum, Lauren N",,,,,
CRIM,4322,0H1,,9,5,3,6,,3,1,,3,1,,2,,,,2,"Vieraitis, Lynne M","Olszewski, Hailey",,,,
CRIM,4396,001,3,14,5,1,5,3,2,1,2,,,,1,,,,3,"Boots, Denise P","Si, Wen",,,,
CRIM,6301,0W1,,12,1,2,,,,,,,,,1,,,,,"Lee, Yeungjeom",,,,,
CRIM,6303,501,,2,6,2,2,,,,,,,,1,,,,,"Vieraitis, Lynne M",,,,,
CRIM,6313,0W1,,11,1,,,,,,,,,,1,,,,,"Burton, Alexander",,,,,
CRIM,6320,001,,12,,,,,,1,,,,,,,,,,"Harris, Michelle N",,,,,
CRWT,2301,001,8,3,1,1,,2,,1,,,,,,,,,,"Sahota, Kiran B",,,,,
CRWT,2301,002,9,1,1,,,,,,,,,,3,,,,1,"Baker, Matthew W",,,,,
CRWT,2301,003,9,1,1,1,1,1,,,1,,,,,,,,1,"Sahota, Kiran B",,,,,
CRWT,2301,004,,4,9,1,,1,,,,,,,,,,,,"Burghelea, Clara I",,,,,
CRWT,2301,005,8,6,,1,,1,,,,,,,,,,,,"Munoz, Toni V",,,,,
CRWT,2301,503,7,2,2,,1,,,,2,,,,1,,,,,"Baker, Matthew W",,,,,
CRWT,3306,001,11,1,,1,,,,,,,,,1,,,,1,"Ogbaa, Maurine",,,,,
CRWT,3306,002,5,6,1,3,,,,,,,,,,,,,,"Munoz, Toni V",,,,,
CRWT,3306,HN1,,10,,,,,,,,,,,1,,,,,"Martinez, Manuel L",,,,,
CRWT,3330,501,,2,4,1,5,,,,,,,,,,,,1,"Vincent, Shelby D",,,,,
CRWT,3351,501,2,4,1,1,,1,,,2,,,,1,,,,,"Neal, Laura",,,,,
CRWT,3354,001,,16,,,,,,1,,,,,,,,,,"Goldberg, Paula",,,,,
CRWT,3355,001,8,6,,,1,,,,,,,,,,,,,"Cantu, Hector D",,,,,
CS,1134,101,20,13,4,1,2,2,2,3,1,1,2,,8,,,,,"De, Partha",,,,,
CS,1134,102,22,12,1,6,8,1,2,3,2,,,2,4,,,,2,"De, Partha",,,,,
CS,1200,001,55,51,24,8,5,1,1,,1,1,,1,1,,1,,,"Christiansen, Michael G",,,,,
CS,1200,002,1,11,20,36,24,22,14,7,,,1,1,,,,,1,"Chin, Wei-Pang",,,,,
CS,1200,003,51,62,21,7,2,1,1,,1,,,1,1,,1,,1,"Christiansen, Michael G",,,,,
CS,1200,004,,10,14,24,17,8,6,10,,,,,,,,,,"Chin, Wei-Pang",,,,,
CS,1200,005,5,21,24,36,19,13,8,13,,,4,1,1,,,,,"Chin, Wei-Pang",,,,,
CS,1200,006,43,38,12,13,9,2,,,1,,,,,,1,,,"Christiansen, Michael G",,,,,
CS,1200,501,5,24,41,24,18,16,4,7,4,2,,,5,,,,,"Salazar, Elmer E",,,,,
CS,1200,0L1,15,40,22,12,3,,,,,,,1,,,,,,"Christiansen, Michael G",,,,,
CS,1200,HON,,19,7,3,2,,,,,,,,,,,,,"Cole, John P",,,,,
CS,1325,001,37,11,8,10,4,6,4,3,1,1,1,,10,,,,18,"Razo-Razo, Miguel Angel",,,,,
CS,1325,002,24,12,17,11,7,8,3,5,2,,1,,13,,,,21,"Razo-Razo, Miguel Angel",,,,,
CS,1334,001,6,9,5,4,2,1,,1,,1,1,1,1,,,,3,"De, Partha",,,,,
CS,1334,002,26,21,21,7,7,3,1,2,1,1,,1,3,,,,3,"De, Partha",,,,,
CS,1335,001,18,10,12,6,3,7,1,3,1,1,3,,1,,,,1,"Veerasamy, Jeyakesavan",,,,,
CS,1335,002,21,13,12,6,8,8,3,2,3,1,1,1,2,,,,3,"Veerasamy, Jeyakesavan",,,,,
CS,1337,001,,6,8,11,6,7,5,3,8,4,5,,5,,,,3,"Davis, Chris I",,,,,
